symbol,name,momentum,close,ma5,last_4_closes_sum,rps
603773,沃格光电,0.29883205799436174,32.25,33.048,131.18,79.9054820415879
002492,恒基达鑫,0.2986348122866894,7.61,7.720000000000001,30.74,79.88657844990547
300053,航宇微,0.29825889477668416,17.15,17.454,70.47,79.86767485822305
000977,浪潮信息,0.29797779540047586,65.47,63.11800000000001,252.73999999999998,79.84877126654064
601336,新华保险,0.29784582517358027,72.9,71.042,286.09000000000003,79.82986767485822
002838,道恩股份,0.2978378378378379,24.01,24.246000000000002,96.69000000000001,79.8109640831758
300158,振东制药,0.2978260869565218,5.97,6.042,24.139999999999997,79.79206049149339
603703,盛洋科技,0.297790585975024,13.51,14.36,57.72,79.77315689981096
603889,新澳股份,0.2970639032815198,7.51,7.502,30.1,79.75425330812854
002290,禾盛新材,0.2966613672496026,40.78,40.898,162.82999999999998,79.73534971644612
603568,伟明环保,0.29612159329140475,24.73,23.704,95.91000000000001,79.7164461247637
301631,壹连科技,0.29587603709126403,106.21,105.144,422.3,79.69754253308129
002625,光启技术,0.2958639939101752,51.07,51.848,206.67000000000002,79.67863894139886
002329,皇氏集团,0.29545454545454536,4.56,4.4479999999999995,18.119999999999997,79.65973534971644
300680,隆盛科技,0.2954241370082954,48.41,47.254000000000005,190.38000000000002,79.64083175803403
301279,金道科技,0.29523809523809513,28.56,28.663999999999998,114.6,79.62192816635161
300132,青松股份,0.2950819672131149,7.9,7.942,31.93,79.60302457466919
603786,科博达,0.2949884073479579,72.61,72.322,290.71000000000004,79.58412098298678
002728,特一药业,0.29494712103407755,11.02,11.132,44.370000000000005,79.56521739130434
603169,兰石重装,0.2947761194029852,10.41,10.094,40.709999999999994,79.54631379962193
601003,柳钢股份,0.2945736434108526,5.01,4.984,20.009999999999998,79.52741020793951
688309,恒誉环保,0.2944444444444445,23.3,23.156,93.14,79.5085066162571
600995,南网储能,0.2939979654120041,12.72,12.604,50.43,79.48960302457468
600160,巨化股份,0.29379310344827597,37.52,36.728,147.39000000000001,79.47069943289225
000612,焦作万方,0.29329962073324906,10.23,10.022,40.18000000000001,79.45179584120983
600837,海通证券,0.29316770186335395,10.41,10.540000000000001,42.129999999999995,79.43289224952741
002396,星网锐捷,0.2931494661921708,29.07,28.754,114.74000000000001,79.413988657845
603080,新疆火炬,0.29307384087006305,22.59,22.612000000000002,90.55000000000001,79.39508506616258
603259,药明康德,0.2928216062544422,90.95,91.16199999999999,365.21999999999997,79.37618147448016
300855,图南股份,0.2927966101694915,30.51,29.939999999999998,119.8,79.35727788279773
002829,星网宇达,0.29245719574271173,27.93,27.815999999999995,112.74000000000001,79.33837429111531
920284,灵鸽科技,0.29240141070856046,40.31,39.376,157.73,79.3194706994329
603203,快克智能,0.29239766081871343,35.36,31.920000000000005,128.60000000000002,79.30056710775048
301088,戎美股份,0.2920029347028612,17.61,15.61,63.78,79.28166351606805
